0 312 313 314 462 463 464
1 318 319 320 468 469 470
2 324 325 326 474 475 476
3 315 316 317 465 466 467
4 321 322 323 471 472 473
5 327 328 329 477 478 479
6 258 259 260 408 409 512
7 366 367 368 516 517 518
8 360 361 362 410 510 511
9 354 355 356 416 504 505
10 330 331 332 480 481 482
11 264 265 266 414 415 506
12 339 340 341 489 490 491
13 256 257 345 495 496 497
14 250 251 351 501 502 503
15 243 244 245 393 394 395
16 249 352 353 399 400 401
17 255 346 347 405 406 407
18 261 262 263 513 514 515
19 369 370 371 519 520 521
20 363 364 365 411 412 413
21 357 358 359 417 418 419
22 333 334 335 483 484 485
23 267 268 269 507 508 509
24 336 337 338 486 487 488
25 342 343 344 402 403 404
26 348 349 350 396 397 398
27 240 241 242 390 391 392
28 246 247 248 498 499 500
29 252 253 254 492 493 494
