0 312 313 314 462 463 464
1 318 319 320 468 469 470
2 324 325 326 474 475 476
3 315 316 317 465 466 467
4 321 322 323 471 472 473
5 327 328 329 477 478 479
6 351 250 251 399 502 503
7 243 244 245 393 394 395
8 249 352 353 501 400 401
9 255 346 347 495 406 407
10 339 340 341 489 490 491
11 345 256 257 405 496 497
12 330 331 332 480 481 482
13 264 265 266 504 505 416
14 258 259 260 510 511 410
15 366 367 368 516 517 518
16 360 361 362 408 409 512
17 354 355 356 414 415 506
18 246 247 350 411 412 398
19 240 241 242 519 520 392
20 348 349 248 513 514 500
21 342 343 254 507 508 494
22 336 337 338 483 484 488
23 252 253 344 417 418 404
24 333 334 335 486 487 485
25 357 358 359 492 493 509
26 363 364 365 498 499 515
27 369 370 371 390 391 521
28 261 262 263 396 397 413
29 267 268 269 402 403 419
